Product,Network,CPU,User State,Browser,Metric Name,Metric Description,Iterations,Unit,Min,Max,Mean,Count
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Click to Popup,The time from the user clicks the checkout button to the checkout popup appears,74.5; 63.1; 65.7; 66.2; 64.2; 56.7; 65.7; 59; 60.2; 65.8; 62.1; 62.5; 62.7; 58.1; 58.3; 57.9; 59.2; 59.7; 57.9; 59.6,ms,56.7,74.5,61.95,20
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Popup to Content,The time from the checkout popup appears to the mobile number input field appears,2911.3; 2893.8; 3883.8; 2883.8; 2884.5; 2875; 3885; 2879.3; 2895.5; 4904.6; 2898.5; 2882.3; 2878.1; 2898.4; 2884.4; 2884.8; 2890; 2881.5; 2889.4; 2881.9,ms,2875,4904.6,3088.3,20
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Click to Content,The time from the user clicks the checkout button to the mobile number input field appears on the popup,2985.8; 2956.9; 3949.5; 2950; 2948.7; 2931.7; 3950.7; 2938.3; 2955.7; 4970.4; 2960.6; 2944.8; 2940.8; 2956.5; 2942.7; 2942.7; 2949.2; 2941.2; 2947.3; 2941.5,ms,2931.7,4970.4,3150.25,20
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Total Load Time,The time from the user clicks the checkout button till the last long task completes and the main thread is idle,3088.1; 3060.1; 4051.3; 3052.5; 3050.4; 3033.4; 4052.1; 3048.6; 3058.7; 5073.6; 3061.7; 3058; 3042.3; 3067.4; 3055.3; 3046.2; 3050.6; 3044; 3050.3; 3043.1,ms,3033.4,5073.6,3254.39,20
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Content to Interactive,The time from the mobile number input field appears on the popup till the main thread is idle,102.3; 103.2; 101.8; 102.5; 101.7; 101.7; 101.4; 110.3; 103; 103.2; 101.1; 113.2; 101.5; 110.9; 112.6; 103.5; 101.4; 102.8; 103; 101.6,ms,101.1,113.2,104.14,20
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Click to Popup,The time from the user clicks the checkout button to the checkout popup appears,68.4; 67.1; 67.1; 63; 63; 64.4; 63.1; 65.9; 64.1; 66.8; 64.4; 69; 68; 64.7; 68.9; 68; 77.7; 65.3; 64.3; 66.3,ms,63,77.7,66.47,20
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Popup to Content,The time from the checkout popup appears to the mobile number input field appears,1129.3; 870.3; 982; 1084.8; 1009.7; 965.7; 1144.8; 1031.5; 1970.8; 973; 964.1; 868.3; 904.3; 1872.1; 938.7; 957; 1887.2; 883.3; 1010.5; 872.5,ms,868.3,1970.8,1116,20
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Click to Content,The time from the user clicks the checkout button to the mobile number input field appears on the popup,1197.7; 937.4; 1049.1; 1147.8; 1072.7; 1030.1; 1207.9; 1097.4; 2034.9; 1039.8; 1028.5; 937.3; 972.3; 1936.8; 1007.6; 1025; 1964.9; 948.6; 1074.8; 938.8,ms,937.3,2034.9,1182.47,20
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Total Load Time,The time from the user clicks the checkout button till the last long task completes and the main thread is idle,1308.4; 1041.5; 1156.8; 1285.9; 1189.8; 1265.2; 1317.9; 1202.4; 2158; 1148.7; 1135.4; 1257.3; 1197.3; 2040.3; 1256.9; 1274.4; 2067.6; 1053.6; 1212.2; 1055.1,ms,1041.5,2158,1331.23,20
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Content to Interactive,The time from the mobile number input field appears on the popup till the main thread is idle,110.7; 104.1; 107.7; 138.1; 117.1; 235.1; 110; 105; 123.1; 108.9; 106.9; 320; 225; 103.5; 249.3; 249.4; 102.7; 105; 137.4; 116.3,ms,102.7,320,148.77,20
