Product,Network,CPU,User State,Browser,Metric Name,Metric Description,Iterations,Unit,Min,Max,Mean,Count
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Click to Popup,The time from the user clicks the checkout button to the checkout popup appears,32.6; 34.4; 37.3; 37.8; 33.7; 39.3; 34.2; 32.7; 32.5; 34.2; 33.5; 46.2; 39.3; 36.9; 34; 38.6; 43.1; 68.1; 60.8; 65,ms,32.5,68.1,40.71,20
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Popup to Content,The time from the checkout popup appears to the mobile number input field appears,2907.9; 3885.4; 2878.8; 2875.7; 2889.4; 2875.7; 2875.5; 2899.2; 2872.5; 2880.1; 2902; 2877.8; 2875.5; 2877.3; 3892.3; 2877.1; 2877.9; 2882.9; 2886.3; 2880.3,ms,2872.5,3892.3,2983.48,20
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Click to Content,The time from the user clicks the checkout button to the mobile number input field appears on the popup,2940.5; 3919.8; 2916.1; 2913.5; 2923.1; 2915; 2909.7; 2931.9; 2905; 2914.3; 2935.5; 2924; 2914.8; 2914.2; 3926.3; 2915.7; 2921; 2951; 2947.1; 2945.3,ms,2905,3926.3,3024.19,20
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Total Load Time,The time from the user clicks the checkout button till the last long task completes and the main thread is idle,3042; 4021.4; 3018; 3015.2; 3033.5; 3017.4; 3012.1; 3033.6; 3006.8; 3015.5; 3037.6; 3027.3; 3016.3; 3015.5; 4029.9; 3017.3; 3022.9; 3053.5; 3049.4; 3048.1,ms,3006.8,4029.9,3126.67,20
MagicCheckout,slow_4g,no_throttling,new_user,chromium,Content to Interactive,The time from the mobile number input field appears on the popup till the main thread is idle,101.5; 101.6; 101.9; 101.7; 110.4; 102.4; 102.4; 101.7; 101.8; 101.2; 102.1; 103.3; 101.5; 101.3; 103.6; 101.6; 101.9; 102.5; 102.3; 102.8,ms,101.2,110.4,102.48,20
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Click to Popup,The time from the user clicks the checkout button to the checkout popup appears,55; 31.3; 32.3; 40.5; 35.1; 29.2; 42.5; 41.1; 38.6; 28.1; 39.6; 38.6; 31.7; 39.1; 38.7; 34; 32.2; 39.5; 34.2; 35.6,ms,28.1,55,36.84,20
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Popup to Content,The time from the checkout popup appears to the mobile number input field appears,984.6; 1872.3; 950.9; 1040; 1922.7; 1036.5; 863.9; 984.9; 1158.4; 1109.9; 949; 1871.9; 1866.4; 1064.7; 984.4; 1872.8; 1047; 1007.3; 902.5; 962.2,ms,863.9,1922.7,1222.62,20
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Click to Content,The time from the user clicks the checkout button to the mobile number input field appears on the popup,1039.6; 1903.6; 983.2; 1080.5; 1957.8; 1065.7; 906.4; 1026; 1197; 1138; 988.6; 1910.5; 1898.1; 1103.8; 1023.1; 1906.8; 1079.2; 1046.8; 936.7; 997.8,ms,906.4,1957.8,1259.46,20
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Total Load Time,The time from the user clicks the checkout button till the last long task completes and the main thread is idle,1142.4; 2005.6; 1129; 1185.1; 2060.9; 1171.4; 1052.5; 1136.2; 1301.9; 1241.7; 1093.1; 2011.7; 2002.9; 1224.1; 1136.1; 2010.3; 1185.4; 1150.1; 1075.3; 1133.6,ms,1052.5,2060.9,1372.46,20
MagicCheckout,no_throttling,no_throttling,new_user,chromium,Content to Interactive,The time from the mobile number input field appears on the popup till the main thread is idle,102.8; 102; 145.8; 104.6; 103.1; 105.7; 146.1; 110.2; 104.9; 103.7; 104.5; 101.2; 104.8; 120.3; 113; 103.5; 106.2; 103.3; 138.6; 135.8,ms,101.2,146.1,113,20
